Source Name	Comment[ENA_SAMPLE]	Comment[BioSD_SAMPLE]	Characteristics[organism]	Characteristics[developmental stage]	Characteristics[individual]	Characteristics[age]	Unit[time unit]	Term Source REF	Term Accession Number	Characteristics[sex]	Characteristics[disease]	Characteristics[organism part]	Characteristics[cell type]	Characteristics[phenotype]	Characteristics[single cell quality]	Comment[single cell isolation]	Comment[library construction]	Comment[end bias]	Comment[input molecule]	Comment[primer]	Material Type	Protocol REF	Protocol REF	Protocol REF	Extract Name	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRAND]	Comment[LIBRARY_STRATEGY]	Comment[NOMINAL_LENGTH]	Comment[NOMINAL_SDEV]	Comment[ORIENTATION]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[RUN]	Comment[FASTQ_URI]	Comment[SPOT_LENGTH]	Comment[READ_INDEX_1_BASE_COORD]	Factor Value[cell type]	Factor Value[single cell identifier]
Sample 2	ERS2544929	SAMEA4724792	Homo sapiens	adult	A	33	year	EFO	UO_0000036	female	normal	blood	naive B cell	CD19+ IgD+ CD27- CD10-	OK	FACS	smart-seq2	none	polyA RNA	oligo-dT	cell	P-MTAB-75739	P-MTAB-75740	P-MTAB-75741	Sample 2	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	150	0	5'-3'-3'-5'	P-MTAB-75742	Garvan Institute	Sample 2	sequencing assay	ERX2648939	SIN2772A2-40354349_1.fastq.gz	SIN2772A2-40354349_1.fastq.gz	ERR2632445	ERR2632445	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR263/005/ERR2632445/ERR2632445_1.fastq.gz	298	150	naive B cell	cell 2
Sample 2	ERS2544929	SAMEA4724792	Homo sapiens	adult	A	33	year	EFO	UO_0000036	female	normal	blood	naive B cell	CD19+ IgD+ CD27- CD10-	OK	FACS	smart-seq2	none	polyA RNA	oligo-dT	cell	P-MTAB-75739	P-MTAB-75740	P-MTAB-75741	Sample 2	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	150	0	5'-3'-3'-5'	P-MTAB-75742	Garvan Institute	Sample 2	sequencing assay	ERX2648939	SIN2772A2-40354349_2.fastq.gz	SIN2772A2-40354349_2.fastq.gz	ERR2632445	ERR2632445	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR263/005/ERR2632445/ERR2632445_2.fastq.gz	300	151	naive B cell	cell 2
Sample 3	ERS2544930	SAMEA4724793	Homo sapiens	adult	A	33	year	EFO	UO_0000036	female	normal	blood	naive B cell	CD19+ IgD+ CD27- CD10-	OK	FACS	smart-seq2	none	polyA RNA	oligo-dT	cell	P-MTAB-75739	P-MTAB-75740	P-MTAB-75741	Sample 3	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	150	0	5'-3'-3'-5'	P-MTAB-75742	Garvan Institute	Sample 3	sequencing assay	ERX2648940	SIN2772A3-40337847_1.fastq.gz	SIN2772A3-40337847_1.fastq.gz	ERR2632446	ERR2632446	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR263/006/ERR2632446/ERR2632446_1.fastq.gz	302	152	naive B cell	cell 3
Sample 3	ERS2544930	SAMEA4724793	Homo sapiens	adult	A	33	year	EFO	UO_0000036	female	normal	blood	naive B cell	CD19+ IgD+ CD27- CD10-	OK	FACS	smart-seq2	none	polyA RNA	oligo-dT	cell	P-MTAB-75739	P-MTAB-75740	P-MTAB-75741	Sample 3	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	150	0	5'-3'-3'-5'	P-MTAB-75742	Garvan Institute	Sample 3	sequencing assay	ERX2648940	SIN2772A3-40337847_2.fastq.gz	SIN2772A3-40337847_2.fastq.gz	ERR2632446	ERR2632446	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR263/006/ERR2632446/ERR2632446_2.fastq.gz	302	152	naive B cell	cell 3
Sample 4	ERS2544931	SAMEA4724794	Homo sapiens	adult	A	33	year	EFO	UO_0000036	female	normal	blood	naive B cell	CD19+ IgD+ CD27- CD10-	OK	FACS	smart-seq2	none	polyA RNA	oligo-dT	cell	P-MTAB-75739	P-MTAB-75740	P-MTAB-75741	Sample 4	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	150	0	5'-3'-3'-5'	P-MTAB-75742	Garvan Institute	Sample 4	sequencing assay	ERX2648941	SIN2772A4-40351364_1.fastq.gz	SIN2772A4-40351364_1.fastq.gz	ERR2632447	ERR2632447	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR263/007/ERR2632447/ERR2632447_1.fastq.gz	302	152	naive B cell	cell 4
Sample 4	ERS2544931	SAMEA4724794	Homo sapiens	adult	A	33	year	EFO	UO_0000036	female	normal	blood	naive B cell	CD19+ IgD+ CD27- CD10-	OK	FACS	smart-seq2	none	polyA RNA	oligo-dT	cell	P-MTAB-75739	P-MTAB-75740	P-MTAB-75741	Sample 4	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	150	0	5'-3'-3'-5'	P-MTAB-75742	Garvan Institute	Sample 4	sequencing assay	ERX2648941	SIN2772A4-40351364_2.fastq.gz	SIN2772A4-40351364_2.fastq.gz	ERR2632447	ERR2632447	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR263/007/ERR2632447/ERR2632447_2.fastq.gz	302	152	naive B cell	cell 4
Sample 49	ERS2544932	SAMEA4724795	Homo sapiens	adult	A	33	year	EFO	UO_0000036	female	normal	blood	naive B cell	CD19+ IgD+ CD27- CD10-	OK	FACS	smart-seq2	none	polyA RNA	oligo-dT	cell	P-MTAB-75739	P-MTAB-75740	P-MTAB-75741	Sample 49	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	150	0	5'-3'-3'-5'	P-MTAB-75742	Garvan Institute	Sample 49	sequencing assay	ERX2648942	SIN2772A49-40349347_1.fastq.gz	SIN2772A49-40349347_1.fastq.gz	ERR2632448	ERR2632448	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR263/008/ERR2632448/ERR2632448_1.fastq.gz	302	152	naive B cell	cell 49
Sample 49	ERS2544932	SAMEA4724795	Homo sapiens	adult	A	33	year	EFO	UO_0000036	female	normal	blood	naive B cell	CD19+ IgD+ CD27- CD10-	OK	FACS	smart-seq2	none	polyA RNA	oligo-dT	cell	P-MTAB-75739	P-MTAB-75740	P-MTAB-75741	Sample 49	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	150	0	5'-3'-3'-5'	P-MTAB-75742	Garvan Institute	Sample 49	sequencing assay	ERX2648942	SIN2772A49-40349347_2.fastq.gz	SIN2772A49-40349347_2.fastq.gz	ERR2632448	ERR2632448	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR263/008/ERR2632448/ERR2632448_2.fastq.gz	302	152	naive B cell	cell 49
Sample 5	ERS2544933	SAMEA4724796	Homo sapiens	adult	A	33	year	EFO	UO_0000036	female	normal	blood	naive B cell	CD19+ IgD+ CD27- CD10-	OK	FACS	smart-seq2	none	polyA RNA	oligo-dT	cell	P-MTAB-75739	P-MTAB-75740	P-MTAB-75741	Sample 5	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	150	0	5'-3'-3'-5'	P-MTAB-75742	Garvan Institute	Sample 5	sequencing assay	ERX2648943	SIN2772A5-40355339_1.fastq.gz	SIN2772A5-40355339_1.fastq.gz	ERR2632449	ERR2632449	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR263/009/ERR2632449/ERR2632449_1.fastq.gz	300	151	naive B cell	cell 5
Sample 5	ERS2544933	SAMEA4724796	Homo sapiens	adult	A	33	year	EFO	UO_0000036	female	normal	blood	naive B cell	CD19+ IgD+ CD27- CD10-	OK	FACS	smart-seq2	none	polyA RNA	oligo-dT	cell	P-MTAB-75739	P-MTAB-75740	P-MTAB-75741	Sample 5	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	150	0	5'-3'-3'-5'	P-MTAB-75742	Garvan Institute	Sample 5	sequencing assay	ERX2648943	SIN2772A5-40355339_2.fastq.gz	SIN2772A5-40355339_2.fastq.gz	ERR2632449	ERR2632449	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR263/009/ERR2632449/ERR2632449_2.fastq.gz	302	152	naive B cell	cell 5
Sample 50	ERS2544934	SAMEA4724797	Homo sapiens	adult	A	33	year	EFO	UO_0000036	female	normal	blood	naive B cell	CD19+ IgD+ CD27- CD10-	OK	FACS	smart-seq2	none	polyA RNA	oligo-dT	cell	P-MTAB-75739	P-MTAB-75740	P-MTAB-75741	Sample 50	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	150	0	5'-3'-3'-5'	P-MTAB-75742	Garvan Institute	Sample 50	sequencing assay	ERX2648944	SIN2772A50-40343403_1.fastq.gz	SIN2772A50-40343403_1.fastq.gz	ERR2632450	ERR2632450	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR263/000/ERR2632450/ERR2632450_1.fastq.gz	302	152	naive B cell	cell 50
Sample 50	ERS2544934	SAMEA4724797	Homo sapiens	adult	A	33	year	EFO	UO_0000036	female	normal	blood	naive B cell	CD19+ IgD+ CD27- CD10-	OK	FACS	smart-seq2	none	polyA RNA	oligo-dT	cell	P-MTAB-75739	P-MTAB-75740	P-MTAB-75741	Sample 50	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	150	0	5'-3'-3'-5'	P-MTAB-75742	Garvan Institute	Sample 50	sequencing assay	ERX2648944	SIN2772A50-40343403_2.fastq.gz	SIN2772A50-40343403_2.fastq.gz	ERR2632450	ERR2632450	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR263/000/ERR2632450/ERR2632450_2.fastq.gz	302	152	naive B cell	cell 50
Sample 51	ERS2544935	SAMEA4724798	Homo sapiens	adult	A	33	year	EFO	UO_0000036	female	normal	blood	naive B cell	CD19+ IgD+ CD27- CD10-	OK	FACS	smart-seq2	none	polyA RNA	oligo-dT	cell	P-MTAB-75739	P-MTAB-75740	P-MTAB-75741	Sample 51	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	150	0	5'-3'-3'-5'	P-MTAB-75742	Garvan Institute	Sample 51	sequencing assay	ERX2648945	SIN2772A51-40350355_1.fastq.gz	SIN2772A51-40350355_1.fastq.gz	ERR2632451	ERR2632451	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR263/001/ERR2632451/ERR2632451_1.fastq.gz	300	151	naive B cell	cell 51
Sample 51	ERS2544935	SAMEA4724798	Homo sapiens	adult	A	33	year	EFO	UO_0000036	female	normal	blood	naive B cell	CD19+ IgD+ CD27- CD10-	OK	FACS	smart-seq2	none	polyA RNA	oligo-dT	cell	P-MTAB-75739	P-MTAB-75740	P-MTAB-75741	Sample 51	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	150	0	5'-3'-3'-5'	P-MTAB-75742	Garvan Institute	Sample 51	sequencing assay	ERX2648945	SIN2772A51-40350355_2.fastq.gz	SIN2772A51-40350355_2.fastq.gz	ERR2632451	ERR2632451	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR263/001/ERR2632451/ERR2632451_2.fastq.gz	302	152	naive B cell	cell 51
Sample 52	ERS2544936	SAMEA4724799	Homo sapiens	adult	A	33	year	EFO	UO_0000036	female	normal	blood	naive B cell	CD19+ IgD+ CD27- CD10-	OK	FACS	smart-seq2	none	polyA RNA	oligo-dT	cell	P-MTAB-75739	P-MTAB-75740	P-MTAB-75741	Sample 52	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	150	0	5'-3'-3'-5'	P-MTAB-75742	Garvan Institute	Sample 52	sequencing assay	ERX2648946	SIN2772A52-40345407_1.fastq.gz	SIN2772A52-40345407_1.fastq.gz	ERR2632452	ERR2632452	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR263/002/ERR2632452/ERR2632452_1.fastq.gz	302	152	naive B cell	cell 52
Sample 52	ERS2544936	SAMEA4724799	Homo sapiens	adult	A	33	year	EFO	UO_0000036	female	normal	blood	naive B cell	CD19+ IgD+ CD27- CD10-	OK	FACS	smart-seq2	none	polyA RNA	oligo-dT	cell	P-MTAB-75739	P-MTAB-75740	P-MTAB-75741	Sample 52	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	150	0	5'-3'-3'-5'	P-MTAB-75742	Garvan Institute	Sample 52	sequencing assay	ERX2648946	SIN2772A52-40345407_2.fastq.gz	SIN2772A52-40345407_2.fastq.gz	ERR2632452	ERR2632452	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR263/002/ERR2632452/ERR2632452_2.fastq.gz	302	152	naive B cell	cell 52
Sample 53	ERS2544937	SAMEA4724800	Homo sapiens	adult	A	33	year	EFO	UO_0000036	female	normal	blood	naive B cell	CD19+ IgD+ CD27- CD10-	OK	FACS	smart-seq2	none	polyA RNA	oligo-dT	cell	P-MTAB-75739	P-MTAB-75740	P-MTAB-75741	Sample 53	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	150	0	5'-3'-3'-5'	P-MTAB-75742	Garvan Institute	Sample 53	sequencing assay	ERX2648947	SIN2772A53-40337843_1.fastq.gz	SIN2772A53-40337843_1.fastq.gz	ERR2632453	ERR2632453	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR263/003/ERR2632453/ERR2632453_1.fastq.gz	302	152	naive B cell	cell 53
Sample 53	ERS2544937	SAMEA4724800	Homo sapiens	adult	A	33	year	EFO	UO_0000036	female	normal	blood	naive B cell	CD19+ IgD+ CD27- CD10-	OK	FACS	smart-seq2	none	polyA RNA	oligo-dT	cell	P-MTAB-75739	P-MTAB-75740	P-MTAB-75741	Sample 53	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	150	0	5'-3'-3'-5'	P-MTAB-75742	Garvan Institute	Sample 53	sequencing assay	ERX2648947	SIN2772A53-40337843_2.fastq.gz	SIN2772A53-40337843_2.fastq.gz	ERR2632453	ERR2632453	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR263/003/ERR2632453/ERR2632453_2.fastq.gz	302	152	naive B cell	cell 53
Sample 54	ERS2544938	SAMEA4724801	Homo sapiens	adult	A	33	year	EFO	UO_0000036	female	normal	blood	naive B cell	CD19+ IgD+ CD27- CD10-	OK	FACS	smart-seq2	none	polyA RNA	oligo-dT	cell	P-MTAB-75739	P-MTAB-75740	P-MTAB-75741	Sample 54	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	150	0	5'-3'-3'-5'	P-MTAB-75742	Garvan Institute	Sample 54	sequencing assay	ERX2648948	SIN2772A54-40350358_1.fastq.gz	SIN2772A54-40350358_1.fastq.gz	ERR2632454	ERR2632454	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR263/004/ERR2632454/ERR2632454_1.fastq.gz	300	151	naive B cell	cell 54
Sample 54	ERS2544938	SAMEA4724801	Homo sapiens	adult	A	33	year	EFO	UO_0000036	female	normal	blood	naive B cell	CD19+ IgD+ CD27- CD10-	OK	FACS	smart-seq2	none	polyA RNA	oligo-dT	cell	P-MTAB-75739	P-MTAB-75740	P-MTAB-75741	Sample 54	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	150	0	5'-3'-3'-5'	P-MTAB-75742	Garvan Institute	Sample 54	sequencing assay	ERX2648948	SIN2772A54-40350358_2.fastq.gz	SIN2772A54-40350358_2.fastq.gz	ERR2632454	ERR2632454	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR263/004/ERR2632454/ERR2632454_2.fastq.gz	302	152	naive B cell	cell 54
Sample 6	ERS2544939	SAMEA4724802	Homo sapiens	adult	A	33	year	EFO	UO_0000036	female	normal	blood	naive B cell	CD19+ IgD+ CD27- CD10-	OK	FACS	smart-seq2	none	polyA RNA	oligo-dT	cell	P-MTAB-75739	P-MTAB-75740	P-MTAB-75741	Sample 6	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	150	0	5'-3'-3'-5'	P-MTAB-75742	Garvan Institute	Sample 6	sequencing assay	ERX2648949	SIN2772A6-40339693_1.fastq.gz	SIN2772A6-40339693_1.fastq.gz	ERR2632455	ERR2632455	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR263/005/ERR2632455/ERR2632455_1.fastq.gz	302	152	naive B cell	cell 6
Sample 6	ERS2544939	SAMEA4724802	Homo sapiens	adult	A	33	year	EFO	UO_0000036	female	normal	blood	naive B cell	CD19+ IgD+ CD27- CD10-	OK	FACS	smart-seq2	none	polyA RNA	oligo-dT	cell	P-MTAB-75739	P-MTAB-75740	P-MTAB-75741	Sample 6	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	150	0	5'-3'-3'-5'	P-MTAB-75742	Garvan Institute	Sample 6	sequencing assay	ERX2648949	SIN2772A6-40339693_2.fastq.gz	SIN2772A6-40339693_2.fastq.gz	ERR2632455	ERR2632455	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR263/005/ERR2632455/ERR2632455_2.fastq.gz	302	152	naive B cell	cell 6
Sample 7	ERS2544940	SAMEA4724803	Homo sapiens	adult	A	33	year	EFO	UO_0000036	female	normal	blood	naive B cell	CD19+ IgD+ CD27- CD10-	OK	FACS	smart-seq2	none	polyA RNA	oligo-dT	cell	P-MTAB-75739	P-MTAB-75740	P-MTAB-75741	Sample 7	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	150	0	5'-3'-3'-5'	P-MTAB-75742	Garvan Institute	Sample 7	sequencing assay	ERX2648950	SIN2772A7-40350369_1.fastq.gz	SIN2772A7-40350369_1.fastq.gz	ERR2632456	ERR2632456	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR263/006/ERR2632456/ERR2632456_1.fastq.gz	300	151	naive B cell	cell 7
Sample 7	ERS2544940	SAMEA4724803	Homo sapiens	adult	A	33	year	EFO	UO_0000036	female	normal	blood	naive B cell	CD19+ IgD+ CD27- CD10-	OK	FACS	smart-seq2	none	polyA RNA	oligo-dT	cell	P-MTAB-75739	P-MTAB-75740	P-MTAB-75741	Sample 7	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	150	0	5'-3'-3'-5'	P-MTAB-75742	Garvan Institute	Sample 7	sequencing assay	ERX2648950	SIN2772A7-40350369_2.fastq.gz	SIN2772A7-40350369_2.fastq.gz	ERR2632456	ERR2632456	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR263/006/ERR2632456/ERR2632456_2.fastq.gz	298	150	naive B cell	cell 7
Sample 70	ERS2544941	SAMEA4724804	Homo sapiens	adult	A	33	year	EFO	UO_0000036	female	normal	blood	naive B cell	CD19+ IgD+ CD27- CD10-	OK	FACS	smart-seq2	none	polyA RNA	oligo-dT	cell	P-MTAB-75739	P-MTAB-75740	P-MTAB-75741	Sample 70	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	150	0	5'-3'-3'-5'	P-MTAB-75742	Garvan Institute	Sample 70	sequencing assay	ERX2648951	SIN2772A70-40333849_1.fastq.gz	SIN2772A70-40333849_1.fastq.gz	ERR2632457	ERR2632457	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR263/007/ERR2632457/ERR2632457_1.fastq.gz	300	151	naive B cell	cell 70
Sample 70	ERS2544941	SAMEA4724804	Homo sapiens	adult	A	33	year	EFO	UO_0000036	female	normal	blood	naive B cell	CD19+ IgD+ CD27- CD10-	OK	FACS	smart-seq2	none	polyA RNA	oligo-dT	cell	P-MTAB-75739	P-MTAB-75740	P-MTAB-75741	Sample 70	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	150	0	5'-3'-3'-5'	P-MTAB-75742	Garvan Institute	Sample 70	sequencing assay	ERX2648951	SIN2772A70-40333849_2.fastq.gz	SIN2772A70-40333849_2.fastq.gz	ERR2632457	ERR2632457	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR263/007/ERR2632457/ERR2632457_2.fastq.gz	302	152	naive B cell	cell 70
Sample 71	ERS2544942	SAMEA4724805	Homo sapiens	adult	A	33	year	EFO	UO_0000036	female	normal	blood	naive B cell	CD19+ IgD+ CD27- CD10-	OK	FACS	smart-seq2	none	polyA RNA	oligo-dT	cell	P-MTAB-75739	P-MTAB-75740	P-MTAB-75741	Sample 71	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	150	0	5'-3'-3'-5'	P-MTAB-75742	Garvan Institute	Sample 71	sequencing assay	ERX2648952	SIN2772A71-40339665_1.fastq.gz	SIN2772A71-40339665_1.fastq.gz	ERR2632458	ERR2632458	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR263/008/ERR2632458/ERR2632458_1.fastq.gz	302	152	naive B cell	cell 71
Sample 71	ERS2544942	SAMEA4724805	Homo sapiens	adult	A	33	year	EFO	UO_0000036	female	normal	blood	naive B cell	CD19+ IgD+ CD27- CD10-	OK	FACS	smart-seq2	none	polyA RNA	oligo-dT	cell	P-MTAB-75739	P-MTAB-75740	P-MTAB-75741	Sample 71	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	150	0	5'-3'-3'-5'	P-MTAB-75742	Garvan Institute	Sample 71	sequencing assay	ERX2648952	SIN2772A71-40339665_2.fastq.gz	SIN2772A71-40339665_2.fastq.gz	ERR2632458	ERR2632458	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR263/008/ERR2632458/ERR2632458_2.fastq.gz	302	152	naive B cell	cell 71
Sample 72	ERS2544943	SAMEA4724806	Homo sapiens	adult	A	33	year	EFO	UO_0000036	female	normal	blood	naive B cell	CD19+ IgD+ CD27- CD10-	OK	FACS	smart-seq2	none	polyA RNA	oligo-dT	cell	P-MTAB-75739	P-MTAB-75740	P-MTAB-75741	Sample 72	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	150	0	5'-3'-3'-5'	P-MTAB-75742	Garvan Institute	Sample 72	sequencing assay	ERX2648953	SIN2772A72-40353319_1.fastq.gz	SIN2772A72-40353319_1.fastq.gz	ERR2632459	ERR2632459	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR263/009/ERR2632459/ERR2632459_1.fastq.gz	302	152	naive B cell	cell 72
Sample 72	ERS2544943	SAMEA4724806	Homo sapiens	adult	A	33	year	EFO	UO_0000036	female	normal	blood	naive B cell	CD19+ IgD+ CD27- CD10-	OK	FACS	smart-seq2	none	polyA RNA	oligo-dT	cell	P-MTAB-75739	P-MTAB-75740	P-MTAB-75741	Sample 72	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	150	0	5'-3'-3'-5'	P-MTAB-75742	Garvan Institute	Sample 72	sequencing assay	ERX2648953	SIN2772A72-40353319_2.fastq.gz	SIN2772A72-40353319_2.fastq.gz	ERR2632459	ERR2632459	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR263/009/ERR2632459/ERR2632459_2.fastq.gz	302	152	naive B cell	cell 72
Sample 73	ERS2544944	SAMEA4724807	Homo sapiens	adult	A	33	year	EFO	UO_0000036	female	normal	blood	naive B cell	CD19+ IgD+ CD27- CD10-	OK	FACS	smart-seq2	none	polyA RNA	oligo-dT	cell	P-MTAB-75739	P-MTAB-75740	P-MTAB-75741	Sample 73	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	150	0	5'-3'-3'-5'	P-MTAB-75742	Garvan Institute	Sample 73	sequencing assay	ERX2648954	SIN2772A73-40349316_1.fastq.gz	SIN2772A73-40349316_1.fastq.gz	ERR2632460	ERR2632460	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR263/000/ERR2632460/ERR2632460_1.fastq.gz	302	152	naive B cell	cell 73
Sample 73	ERS2544944	SAMEA4724807	Homo sapiens	adult	A	33	year	EFO	UO_0000036	female	normal	blood	naive B cell	CD19+ IgD+ CD27- CD10-	OK	FACS	smart-seq2	none	polyA RNA	oligo-dT	cell	P-MTAB-75739	P-MTAB-75740	P-MTAB-75741	Sample 73	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	150	0	5'-3'-3'-5'	P-MTAB-75742	Garvan Institute	Sample 73	sequencing assay	ERX2648954	SIN2772A73-40349316_2.fastq.gz	SIN2772A73-40349316_2.fastq.gz	ERR2632460	ERR2632460	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR263/000/ERR2632460/ERR2632460_2.fastq.gz	302	152	naive B cell	cell 73
Sample 74	ERS2544945	SAMEA4724808	Homo sapiens	adult	A	33	year	EFO	UO_0000036	female	normal	blood	naive B cell	CD19+ IgD+ CD27- CD10-	OK	FACS	smart-seq2	none	polyA RNA	oligo-dT	cell	P-MTAB-75739	P-MTAB-75740	P-MTAB-75741	Sample 74	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	150	0	5'-3'-3'-5'	P-MTAB-75742	Garvan Institute	Sample 74	sequencing assay	ERX2648955	SIN2772A74-40351316_1.fastq.gz	SIN2772A74-40351316_1.fastq.gz	ERR2632461	ERR2632461	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR263/001/ERR2632461/ERR2632461_1.fastq.gz	302	152	naive B cell	cell 74
Sample 74	ERS2544945	SAMEA4724808	Homo sapiens	adult	A	33	year	EFO	UO_0000036	female	normal	blood	naive B cell	CD19+ IgD+ CD27- CD10-	OK	FACS	smart-seq2	none	polyA RNA	oligo-dT	cell	P-MTAB-75739	P-MTAB-75740	P-MTAB-75741	Sample 74	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	150	0	5'-3'-3'-5'	P-MTAB-75742	Garvan Institute	Sample 74	sequencing assay	ERX2648955	SIN2772A74-40351316_2.fastq.gz	SIN2772A74-40351316_2.fastq.gz	ERR2632461	ERR2632461	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR263/001/ERR2632461/ERR2632461_2.fastq.gz	302	152	naive B cell	cell 74
Sample 75	ERS2544946	SAMEA4724809	Homo sapiens	adult	A	33	year	EFO	UO_0000036	female	normal	blood	naive B cell	CD19+ IgD+ CD27- CD10-	OK	FACS	smart-seq2	none	polyA RNA	oligo-dT	cell	P-MTAB-75739	P-MTAB-75740	P-MTAB-75741	Sample 75	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	150	0	5'-3'-3'-5'	P-MTAB-75742	Garvan Institute	Sample 75	sequencing assay	ERX2648956	SIN2772A75-40353320_1.fastq.gz	SIN2772A75-40353320_1.fastq.gz	ERR2632462	ERR2632462	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR263/002/ERR2632462/ERR2632462_1.fastq.gz	302	152	naive B cell	cell 75
